no	month	temperature	precipitation	station	country	latitude	NS	longitude	WE	altitude
1	1	7.1	14.9	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	2	9.2	11.2	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	3	12.9	15.9	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	4	16.8	16.9	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	5	21.5	15	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	6	26.7	6.9	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	7	31	4.1	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	8	29.5	13.5	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	9	24.4	21	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	10	18.6	25.8	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	11	12	22.3	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
1	12	8.2	9.4	アインセフラ_アルジェリア	アルジェリア	32.77	N	0.6	W	1058
2	1	12.9	3.1	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	2	16.1	1.4	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	3	20.7	1.2	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	4	25.7	2.7	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	5	30.5	0.5	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	6	35.2	0.2	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	7	38.3	0	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	8	37.2	0.6	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	9	33.4	3.5	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	10	26.8	0.5	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	11	18.8	0.6	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
2	12	13.9	0.7	アドラル_アルジェリア	アルジェリア	27.88	N	0.18	W	279
3	1	14.1	68.9	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	2	14	83.7	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	3	15.8	66.4	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	4	17.3	60.9	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	5	19.7	38.8	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	6	23.1	12.5	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	7	25.8	1.6	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	8	26.6	7.1	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	9	24.6	33.4	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	10	22.3	58.4	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	11	17.9	137.8	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
3	12	15.1	105.7	アルジェ_アルジェリア	アルジェリア	36.77	N	3.1	E	9
4	1	11.2	102.4	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
