no	station	url
1	アインセフラ - アルジェリア   緯度：32.77°N   経度：0.60°W   高度：1058 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60560
2	アドラル - アルジェリア   緯度：27.88°N   経度：0.18°W   高度：279 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60620
3	アルジェ - アルジェリア   緯度：36.77°N   経度：3.10°E   高度：9 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60369
4	アンナバ - アルジェリア   緯度：36.83°N   経度：7.82°E   高度：3 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60360
5	イナメナス - アルジェリア   緯度：28.05°N   経度：9.63°E   高度：561 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60611
6	イリジ - アルジェリア   緯度：26.50°N   経度：8.42°E   高度：543 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60640
7	インゲザム - アルジェリア   緯度：19.57°N   経度：5.77°E   高度：400 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60690
8	インサラー - アルジェリア   緯度：27.23°N   経度：2.50°E   高度：268 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60630
9	ウェド - アルジェリア   緯度：33.50°N   経度：6.78°E   高度：64 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60559
10	ウームエルブワギー - アルジェリア   緯度：35.87°N   経度：7.12°E   高度：889 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60421
11	オラン港 - アルジェリア   緯度：35.70°N   経度：0.65°W   高度：- (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60461
12	カラ - アルジェリア   緯度：36.90°N   経度：8.45°E   高度：11 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60367
13	ガルダイア - アルジェリア   緯度：32.40°N   経度：3.80°E   高度：468 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60566
14	クサル - アルジェリア   緯度：35.17°N   経度：2.32°E   高度：800 (m)	https://www.data.jma.go.jp/gmd/cpd/monitor/nrmlist/NrmMonth.php?stn=60514
